# r_h, mass
0.565, 22545455.594
0.579, 13936905.024
0.700, 41241587.584
1.043, 52392114.711
1.652, 54941094.089
2.429, 59262307.566
3.573, 59382398.628
5.255, 61138939.061
7.730, 61138939.061
11.369, 61138939.061
16.722, 61138939.061
24.596, 61138939.061
36.544, 59300024.278
52.446, 50902573.083
62.414, 35194772.297
61.408, 23363211.868
58.312, 17568888.851
53.480, 11943025.802
48.196, 8118661.717
42.684, 5349524.503
37.148, 3396468.994
32.329, 2195214.149
28.135, 1425149.168
24.483, 941847.349
21.306, 616924.948
18.541, 405899.333
16.134, 271857.368
11.803, 105216.056
8.218, 44977.659
6.498, 30384.342
4.611, 29729.398
3.409, 49074.031
2.867, 81006.030
2.028, 206755.663
1.466, 551219.942
1.131, 1083179.209
0.930, 2589698.536
0.672, 6904253.349

